Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
7031EG,Bjh Derksen,Kelderweg 2,Wehl,09203996
6733JB,Stoeterij Zandvliet Cv,Koperensteeg 20,Wekerom,09103897
5325KB,Paardenbedrijf De Woeste Hoeve,Slijkwellsestraat 22,Well,11063821
7345CR,De Ploeg Wiessel,Greutelseweg 61,Wenum Wiesel,08193996
7345DZ,Dresspring Bv,Kanaweg 21 A,Wenum Wiesel,08054132
7345CR,Stal Het Gruyter,Greutelseweg 25,Wenum Wiesel,54227224
7345CK,Vof Stal Sprengenhorst,Wieselse Kampweg 62 A,Wenum Wiesel,08027268
6931AE,Agrarisch Bedrijf V Bus,IJsseldijk 90,Westervoort,09192068
8091PK,Stal Van Den Berg Vof,Brandsweg 22,Wezep,77093917
8091PD,Stal Ysselvliedt,Jan Boerswegje 3,Wezep,08110036
8091PL,Stoeterij Turfhorst Bv,Nieuwe Dijk 5,Wezep,69067678
7384SR,Stal Bruin,Achterhoekseweg 8,Wilp,68323581
7384SL,Stoeterij Beltmanshoeve,Heeringstraat 4,Wilp,54468493
7384SR,World Trade Horses Bv,Achterhoekseweg 8,Wilp,68546386
7101PA,Paardenopfokbedrijf Wim Ten Pas,Bataafseweg 8,Winterswijk,69709017
7119AA,Stal Hietbrink,Corleseweg 47,Winterswijk Corle,09186223
7107AZ,Hj Te Brummelstroete,Pillenweg 3,Winterswijk Kotten,09213441
7109BS,Paardenopfokstal Familie Dekkers,Smeenkstegge 9,Winterswijk Miste,55731228
7136LC,L Ponds,Zieuwentseweg 48,Zieuwent,50926268
7136KN,Mp Olthof Horses Bv,Grensweg 8,Zieuwent,68715854
7136KN,Mp Olthof Horses Exploitatie Bv,Grensweg 8,Zieuwent,68714149
4011KA,Vink Horses,Hogestraat 29 A,Zoelen,60310413
5305TE,De Paardenfokkerij Suylighem Bv,Mertstraat 2 d,Zuilichem,62604546
