Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;PC6;Naam manege;Straat en huisnummer;Plaats;KVK nummer
2024;1165MX;1; 885.300 ;;;;;1165MX;;;;
2024;1171RC;1; 185.000 ;;;;;1171RC;;;;
2024;1175KC;1; 350.000 ;;;;;1175KC;;;;
2024;1175KM;1; 33.000 ;;;;;1175KM;;;;
2024;1175KX;1; 41.500 ;;;;;1175KX;;;;
2024;1182AA;1; 547.860 ;;;;;1182AA;;;;
2024;1182AC;1; 1.180.200 ;;;;;1182AC;;;;
2024;1183TA;1; 300.400 ;;;;;1183TA;;;;
2024;1183TK;1; 14.000 ;;;;;1183TK;;;;
2024;1183TP;1; 96.800 ;;;;;1183TP;;;;
2024;1187ZT;1; 220.300 ;;;;;1187ZT;;;;
2024;1187ZV;1; 196.000 ;;;;;1187ZV;;;;
2024;1188VJ;1; 858.100 ;;;;;1188VJ;;;;
2024;1188XJ;1; 279.700 ;;;;;1188XJ;;;;
2024;1191KK;1; 1.632.880 ;;;;;1191KK;;;;
2024;1191KM;1; 273.500 ;;;;;1191KM;;;;
2024;1191KN;1; 195.000 ;;;;;1191KN;;;;
2024;1191LG;1; 226.300 ;;;;;1191LG;Jc De Dood;Middenweg 7;Ouderkerk aan de Amstel;34331795
2024;1213RM;2; 874.000 ;;;;;1213RM;;;;
2024;1213TR;1; 738.100 ;;;;;1213TR;Stal Prinsenburg Bv;Utrechtseweg 269;Hilversum;66596602
2024;1218XX;1; 153.800 ;;;;;1218XX;;;;
2024;1222ZZ;1; 369.000 ;;;;;1222ZZ;;;;
2024;1223LX;1; 8.800 ;;;;;1223LX;;;;
2024;1231KR;1; 1.127.400 ;;;;;1231KR;;;;
2024;1231KZ;1; 792.400 ;;;;;1231KZ;;;;
2024;1251CJ;1; 738.000 ;;;;;1251CJ;;;;
2024;1261TJ;1; 30.000 ;;;;;1261TJ;Stal Rieder;Kerkpad 12;Blaricum;66309581
2024;1261TP;1; 37.500 ;;;;;1261TP;;;;
2024;1309BB;1; 679.700 ;;;;;1309BB;;;;
2024;1311PA;1; 732.100 ;;;;;1311PA;;;;
2024;1333ZR;1; 621.500 ;;;;;1333ZR;;;;
2024;1338GA;1; 1.148.700 ;;;;;1338GA;;;;
2024;1358BP;1; 245.600 ;;;;;1358BP;;;;
2024;1381GZ;1; 60.070 ;;;;;1381GZ;Stoeterij Fra Skoti;Horn 25;Weesp;32147460
2024;1381HH;1; 562.500 ;;;;;1381HH;;;;
2024;1391GT;1; 1.027.600 ;;;;;1391GT;Stal Willig;Gein-Zuid 16;Abcoude;51289776
2024;1391HJ;1; 508.900 ;;;;;1391HJ;Jha Van Blokland;Voetangelweg 9;Abcoude;30091941
2024;1391HM;1; 131.200 ;;;;;1391HM;;;;
2024;1391HN;1; 60.160 ;;;;;1391HN;;;;
2024;1391HW;1; 5.000 ;;;;;1391HW;;;;
2024;1391JH;1; 134.000 ;;;;;1391JH;;;;
2024;1391KP;1; 321.900 ;;;;;1391KP;;;;
2024;1393PJ;1; 630.100 ;;;;;1393PJ;Veldhuisen Stables Nigtevecht;Klompweg 30;Nigtevecht;66893933
2024;1394AB;2; 1.588.500 ;;;;;1394AB;Pensionstal De Bergen;Meerlaan 23;Nederhorst den Berg;32081621
2024;1398PC;1; 9.000 ;;;;;1398PC;;;;
