Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
1391HM,Geen FNRS-bedrijf (postcode mismatch),,,
1391HN,Geen FNRS-bedrijf (postcode mismatch),,,
1391HW,Geen FNRS-bedrijf (postcode mismatch),,,
1391JH,Geen FNRS-bedrijf (postcode mismatch),,,
1391KP,Geen FNRS-bedrijf (postcode mismatch),,,
1393PJ,Veldhuisen Stables Nigtevecht,Klompweg 30,,088- 02 24 300
1394AB,Geen FNRS-bedrijf (postcode mismatch),,,
1398PC,Geen FNRS-bedrijf (postcode mismatch),,,
1398PE,Geen FNRS-bedrijf (postcode mismatch),,,
1399EP,Any Dale Hippique,Googweg 9 A,,0651807539
1411AX,Geen klikbaar resultaat,,,
1423ST,Geen FNRS-bedrijf (postcode mismatch),,,
1426RW,Geen klikbaar resultaat,,,
1431BM,Geen klikbaar resultaat,,,
1432BJ,Geen klikbaar resultaat,,,
1432BK,Geen klikbaar resultaat,,,
1432BL,Geen klikbaar resultaat,,,
1432CB,Geen klikbaar resultaat,,,
1432CD,Geen klikbaar resultaat,,,
1432CP,Geen klikbaar resultaat,,,
1435EK,Geen klikbaar resultaat,,,
1435GE,Geen klikbaar resultaat,,,
1446WJ,Geen klikbaar resultaat,,,
1447AB,Geen klikbaar resultaat,,,
1456NG,Geen klikbaar resultaat,,,
1456NH,Geen klikbaar resultaat,,,
1456NK,Geen klikbaar resultaat,,,
1456NM,Geen klikbaar resultaat,,,
1458PP,Geen FNRS-bedrijf (postcode mismatch),,,
1461BN,Stichting Ponyclub Zuidoostbeemster,Zuiderpad 6,,0610065152
1461DB,Geen FNRS-bedrijf (postcode mismatch),,,
1461DR,Geen FNRS-bedrijf (postcode mismatch),,,
1461DS,Geen FNRS-bedrijf (postcode mismatch),,,
1461GB,Geen FNRS-bedrijf (postcode mismatch),,,
1461HT,Geen FNRS-bedrijf (postcode mismatch),,,
1461LC,Geen FNRS-bedrijf (postcode mismatch),,,
1462HE,Geen FNRS-bedrijf (postcode mismatch),,,
1462JR,Geen FNRS-bedrijf (postcode mismatch),,,
1462LJ,Geen klikbaar resultaat,,,
1462LK,Geen klikbaar resultaat,,,
1462MG,Geen FNRS-bedrijf (postcode mismatch),,,
1463HA,Geen FNRS-bedrijf (postcode mismatch),,,
1463PG,Geen FNRS-bedrijf (postcode mismatch),,,
1464GA,Geen FNRS-bedrijf (postcode mismatch),,,
1464NA,Geen FNRS-bedrijf (postcode mismatch),,,
1464NK,Geen FNRS-bedrijf (postcode mismatch),,,
1471CB,Geen FNRS-bedrijf (postcode mismatch),,,
1471CH,Geen FNRS-bedrijf (postcode mismatch),,,
1472BD,Geen FNRS-bedrijf (postcode mismatch),,,
1473PB,Geen FNRS-bedrijf (postcode mismatch),,,
1473PP,Geen klikbaar resultaat,,,
1475JJ,Geen FNRS-bedrijf (postcode mismatch),,,
1481AN,Geen FNRS-bedrijf (postcode mismatch),,,
1488AB,Geen FNRS-bedrijf (postcode mismatch),,,
1488AC,Geen FNRS-bedrijf (postcode mismatch),,,
1488AG,Geen FNRS-bedrijf (postcode mismatch),,,
1488AK,Geen klikbaar resultaat,,,
1511AP,Geen FNRS-bedrijf (postcode mismatch),,,
1511GK,Geen FNRS-bedrijf (postcode mismatch),,,
