Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
5524KE,Stal Smits,Tasbroekwegje 4,Steensel,17270318
6029PG,Rundveebedrijf Van Middelaar,Peelven 8,Sterksel,17276021
5844AR,Dutch Vip Horses,Mullemsedijk 27,Stevensbeek,72866357
5844AA,Stal Vero,Radioweg 13,Stevensbeek,51980266
4844PN,De Liniehoeve,Schimmer 6,Terheijden,51951045
4847SH,Balemans Ruitersportcentrum,Laanzichtweg 105,Teteringen,63761432
4847NH,Stal Jespers,Hoeveneind 118,Teteringen,71864865
4847NC,Vof Jespers Nolen,Bergse Pad 8,Teteringen,20055773
5012TC,Q Stables,Quirijnstokstraat 17,Tilburg,72332360
5406TS,Ajj Sommers,Canadasweg 9 A,Uden,17263980
5406NA,Maatschap Van Boekel Langenhuijzen,Eikenheuvelweg 15,Uden,17246233
5406XH,Paardensportcentrum Olympic,Vluchtoordweg 3,Uden,16054567
5406XJ,Stal Timmers 2,Patersweg 15,Uden,77957083
5071RA,Keuninx Paardenfokkerij En Pension,Schoorstraat 28 a,Udenhout,53193342
5113TA,Christie Dreessen Paardentandarts,Baarleseweg 10,Ulicoten,27353828
5556VJ,Exell Equestrian Bv,Klein Schaft 5 A,Valkenswaard,61994871
5556VG,Oaks Sporthorses Bv,Peedijk 24,Valkenswaard,67398510
5556VB,Stal Bax Bv,Maastrichterweg 203,Valkenswaard,17115594
5464VC,Paardenfokkerij De Korte,Voorhei 10,Veghel,63759357
5504PT,Paardenstoeterij Van Bommel,Volmolenweg 17,Veldhoven,62056417
5428NR,Vof De Noordkant,Noordstraat 15,Venhorst,51107023
5408PA,Stal Van Boxtel,Maatseheistraat 4,Volkel,17135317
5476VJ,Mts Vd Heijden V Santvoort,Nistelrodesedijk 14,Vorstenbosch,51457113
5263LT,C C Maas Bv,Helvoirtseweg 211,Vught,16086685
5263LT,De Blokhoeve Vof,Helvoirtseweg 213,Vught,59556269
5583TB,Paardenhotel Ekenrode,Achtereindsestraat 1 d,Waalre,17087922
5455RB,Vetipen Bv,Driesweg 10,Wilbertoord,16080821
4634TW,Africhtings En Handelsstal De Visser,Rijzendeweg 17,Woensdrecht,59256257
4634TW,Stal De Visser,Rijzendeweg 17,Woensdrecht,74486314
4285DP,Worrell Stables Postweide Vof,Acacialaan 20,Woudrichem,18057287
4725SK,Vdp Stables,Mariabaan 12,Wouwse Plantage,70964408
5411RE,Orchids Paardenmelkerij,Graafsebaan 3,Zeeland,16074369
